Month,Total TEUs
Jan-98,38104
Feb-98,38175
Mar-98,46578
Apr-98,41703
May-98,40908
Jun-98,38965
Jul-98,41293
Aug-98,36461
Sep-98,41678
Oct-98,37762
Nov-98,43415
Dec-98,41957
Jan-99,38642
Feb-99,39418
Mar-99,45703
Apr-99,40671
May-99,39035
Jun-99,44385
Jul-99,40942
Aug-99,47840
Sep-99,37535
Oct-99,40309
Nov-99,41363
Dec-99,42242
Jan-00,35855
Feb-00,40724
Mar-00,44743
Apr-00,41238
May-00,44381
Jun-00,42480
Jul-00,45056
Aug-00,49834
Sep-00,40698
Oct-00,40775
Nov-00,37483
Dec-00,34766
1-Jan,39547
1-Feb,37134
1-Mar,44348
1-Apr,39894
1-May,40888
1-Jun,36049
1-Jul,44068
1-Aug,41353
1-Sep,34317
1-Oct,42010
1-Nov,37903
1-Dec,38794
2-Jan,39353
2-Feb,35688
2-Mar,39897
2-Apr,38444
2-May,44272
2-Jun,41632
2-Jul,50657
2-Aug,48104
2-Sep,46479
2-Oct,40283
2-Nov,40939
2-Dec,42248
3-Jan,44989
3-Feb,31486
3-Mar,47292
3-Apr,43526
3-May,43622
3-Jun,46544
3-Jul,47059
3-Aug,46669
3-Sep,43765
3-Oct,45766
3-Nov,40695
3-Dec,47483
4-Jan,38555
4-Feb,39551
4-Mar,41842
4-Apr,47103
4-May,49472
4-Jun,46502
4-Jul,49746
4-Aug,52387
4-Sep,44891
4-Oct,47069
4-Nov,46629
4-Dec,49950
5-Jan,48693
5-Feb,49311
5-Mar,49592
5-Apr,50264
5-May,51351
5-Jun,51918
5-Jul,56454
5-Aug,51618
5-Sep,50440
5-Oct,51159
5-Nov,44528
5-Dec,47116
6-Jan,50645
6-Feb,47937
6-Mar,52608
6-Apr,53017
6-May,55019
6-Jun,52742
6-Jul,56219
6-Aug,51856
6-Sep,46659
6-Oct,53040
6-Nov,55084
6-Dec,53012
7-Jan,52111
7-Feb,45327
7-Mar,50286
7-Apr,51106
7-May,49359
7-Jun,53881
7-Jul,53085
7-Aug,53439
7-Sep,51075
7-Oct,52403
7-Nov,49017
7-Dec,48994
8-Jan,55301
8-Feb,50142
8-Mar,49921
8-Apr,47037
8-May,51783
8-Jun,52805
8-Jul,52155
8-Aug,51432
8-Sep,55889
8-Oct,49739
8-Nov,52848
8-Dec,43790
9-Jan,39679
9-Feb,40232
9-Mar,41185
9-Apr,42016
9-May,41764
9-Jun,44618
9-Jul,45069
9-Aug,47259
9-Sep,46525
9-Oct,46382
9-Nov,45700
9-Dec,44847
10-Jan,43623
10-Feb,38027
10-Mar,50175
10-Apr,48202
10-May,48209
10-Jun,57277
10-Jul,63740
10-Aug,57510
10-Sep,51024
10-Oct,55628
10-Nov,48295
10-Dec,49213
11-Jan,51944
11-Feb,46894
11-Mar,54546
11-Apr,48096
11-May,53365
11-Jun,55331
11-Jul,52578
11-Aug,57347
11-Sep,54726
11-Oct,56755
11-Nov,52306
11-Dec,47540
12-Jan,55303
12-Feb,51640
12-Mar,50724
12-Apr,56156
