Month,Total TEUs,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12
1/1/99,38642,41957,43415,37762,41293,38104
2/1/99,39418,38642,41957,43415,36461,38175
3/1/99,45703,39418,38642,41957,41678,46578
4/1/99,40671,45703,39418,38642,37762,41703
5/1/99,39035,40671,45703,39418,43415,40908
6/1/99,44385,39035,40671,45703,41957,38965
7/1/99,40942,44385,39035,40671,38642,41293
8/1/99,47840,40942,44385,39035,39418,36461
9/1/99,37535,47840,40942,44385,45703,41678
10/1/99,40309,37535,47840,40942,40671,37762
11/1/99,41363,40309,37535,47840,39035,43415
12/1/99,42242,41363,40309,37535,44385,41957
1/1/00,35855,42242,41363,40309,40942,38642
2/1/00,40724,35855,42242,41363,47840,39418
3/1/00,44743,40724,35855,42242,37535,45703
4/1/00,41238,44743,40724,35855,40309,40671
5/1/00,44381,41238,44743,40724,41363,39035
6/1/00,42480,44381,41238,44743,42242,44385
7/1/00,45056,42480,44381,41238,35855,40942
8/1/00,49834,45056,42480,44381,40724,47840
9/1/00,40698,49834,45056,42480,44743,37535
10/1/00,40775,40698,49834,45056,41238,40309
11/1/00,37483,40775,40698,49834,44381,41363
12/1/00,34766,37483,40775,40698,42480,42242
1/1/01,39547,34766,37483,40775,45056,35855
2/1/01,37134,39547,34766,37483,49834,40724
3/1/01,44348,37134,39547,34766,40698,44743
4/1/01,39894,44348,37134,39547,40775,41238
5/1/01,40888,39894,44348,37134,37483,44381
6/1/01,36049,40888,39894,44348,34766,42480
7/1/01,44068,36049,40888,39894,39547,45056
8/1/01,41353,44068,36049,40888,37134,49834
9/1/01,34317,41353,44068,36049,44348,40698
10/1/01,42010,34317,41353,44068,39894,40775
11/1/01,37903,42010,34317,41353,40888,37483
12/1/01,38794,37903,42010,34317,36049,34766
1/1/02,39353,38794,37903,42010,44068,39547
2/1/02,35688,39353,38794,37903,41353,37134
3/1/02,39897,35688,39353,38794,34317,44348
4/1/02,38444,39897,35688,39353,42010,39894
5/1/02,44272,38444,39897,35688,37903,40888
6/1/02,41632,44272,38444,39897,38794,36049
7/1/02,50657,41632,44272,38444,39353,44068
8/1/02,48104,50657,41632,44272,35688,41353
9/1/02,46479,48104,50657,41632,39897,34317
10/1/02,40283,46479,48104,50657,38444,42010
11/1/02,40939,40283,46479,48104,44272,37903
12/1/02,42248,40939,40283,46479,41632,38794
1/1/03,44989,42248,40939,40283,50657,39353
2/1/03,31486,44989,42248,40939,48104,35688
3/1/03,47292,31486,44989,42248,46479,39897
4/1/03,43526,47292,31486,44989,40283,38444
5/1/03,43622,43526,47292,31486,40939,44272
6/1/03,46544,43622,43526,47292,42248,41632
7/1/03,47059,46544,43622,43526,44989,50657
8/1/03,46669,47059,46544,43622,31486,48104
9/1/03,43765,46669,47059,46544,47292,46479
10/1/03,45766,43765,46669,47059,43526,40283
11/1/03,40695,45766,43765,46669,43622,40939
12/1/03,47483,40695,45766,43765,46544,42248
1/1/04,38555,47483,40695,45766,47059,44989
2/1/04,39551,38555,47483,40695,46669,31486
3/1/04,41842,39551,38555,47483,43765,47292
4/1/04,47103,41842,39551,38555,45766,43526
5/1/04,49472,47103,41842,39551,40695,43622
6/1/04,46502,49472,47103,41842,47483,46544
7/1/04,49746,46502,49472,47103,38555,47059
8/1/04,52387,49746,46502,49472,39551,46669
9/1/04,44891,52387,49746,46502,41842,43765
10/1/04,47069,44891,52387,49746,47103,45766
11/1/04,46629,47069,44891,52387,49472,40695
12/1/04,49950,46629,47069,44891,46502,47483
1/1/05,48693,49950,46629,47069,49746,38555
2/1/05,49311,48693,49950,46629,52387,39551
3/1/05,49592,49311,48693,49950,44891,41842
4/1/05,50264,49592,49311,48693,47069,47103
5/1/05,51351,50264,49592,49311,46629,49472
6/1/05,51918,51351,50264,49592,49950,46502
7/1/05,56454,51918,51351,50264,48693,49746
8/1/05,51618,56454,51918,51351,49311,52387
9/1/05,50440,51618,56454,51918,49592,44891
10/1/05,51159,50440,51618,56454,50264,47069
11/1/05,44528,51159,50440,51618,51351,46629
12/1/05,47116,44528,51159,50440,51918,49950
1/1/06,50645,47116,44528,51159,56454,48693
2/1/06,47937,50645,47116,44528,51618,49311
3/1/06,52608,47937,50645,47116,50440,49592
4/1/06,53017,52608,47937,50645,51159,50264
5/1/06,55019,53017,52608,47937,44528,51351
6/1/06,52742,55019,53017,52608,47116,51918
7/1/06,56219,52742,55019,53017,50645,56454
8/1/06,51856,56219,52742,55019,47937,51618
9/1/06,46659,51856,56219,52742,52608,50440
10/1/06,53040,46659,51856,56219,53017,51159
11/1/06,55084,53040,46659,51856,55019,44528
12/1/06,53012,55084,53040,46659,52742,47116
1/1/07,52111,53012,55084,53040,56219,50645
2/1/07,45327,52111,53012,55084,51856,47937
3/1/07,50286,45327,52111,53012,46659,52608
4/1/07,51106,50286,45327,52111,53040,53017
5/1/07,49359,51106,50286,45327,55084,55019
6/1/07,53881,49359,51106,50286,53012,52742
7/1/07,53085,53881,49359,51106,52111,56219
8/1/07,53439,53085,53881,49359,45327,51856
9/1/07,51075,53439,53085,53881,50286,46659
10/1/07,52403,51075,53439,53085,51106,53040
11/1/07,49017,52403,51075,53439,49359,55084
12/1/07,48994,49017,52403,51075,53881,53012
1/1/08,55301,48994,49017,52403,53085,52111
2/1/08,50142,55301,48994,49017,53439,45327
3/1/08,49921,50142,55301,48994,51075,50286
4/1/08,47037,49921,50142,55301,52403,51106
5/1/08,51783,47037,49921,50142,49017,49359
6/1/08,52805,51783,47037,49921,48994,53881
7/1/08,52155,52805,51783,47037,55301,53085
8/1/08,51432,52155,52805,51783,50142,53439
9/1/08,55889,51432,52155,52805,49921,51075
10/1/08,49739,55889,51432,52155,47037,52403
11/1/08,52848,49739,55889,51432,51783,49017
12/1/08,43790,52848,49739,55889,52805,48994
1/1/09,39679,43790,52848,49739,52155,55301
2/1/09,40232,39679,43790,52848,51432,50142
3/1/09,41185,40232,39679,43790,55889,49921
4/1/09,42016,41185,40232,39679,49739,47037
5/1/09,41764,42016,41185,40232,52848,51783
6/1/09,44618,41764,42016,41185,43790,52805
7/1/09,45069,44618,41764,42016,39679,52155
8/1/09,47259,45069,44618,41764,40232,51432
9/1/09,46525,47259,45069,44618,41185,55889
10/1/09,46382,46525,47259,45069,42016,49739
11/1/09,45700,46382,46525,47259,41764,52848
12/1/09,44847,45700,46382,46525,44618,43790
1/1/10,43623,44847,45700,46382,45069,39679
2/1/10,38027,43623,44847,45700,47259,40232
3/1/10,50175,38027,43623,44847,46525,41185
4/1/10,48202,50175,38027,43623,46382,42016
5/1/10,48209,48202,50175,38027,45700,41764
6/1/10,57277,48209,48202,50175,44847,44618
7/1/10,63740,57277,48209,48202,43623,45069
8/1/10,57510,63740,57277,48209,38027,47259
9/1/10,51024,57510,63740,57277,50175,46525
