Month,Total TEUs
Jan-98,38104
Feb-98,38175
Mar-98,46578
Apr-98,41703
May-98,40908
Jun-98,38965
Jul-98,41293
Aug-98,36461
Sep-98,41678
Oct-98,37762
Nov-98,43415
Dec-98,41957
Jan-99,38642
Feb-99,39418
Mar-99,45703
Apr-99,40671
May-99,39035
Jun-99,44385
Jul-99,40942
Aug-99,47840
Sep-99,37535
Oct-99,40309
Nov-99,41363
Dec-99,42242
Jan-00,35855
Feb-00,40724
Mar-00,44743
Apr-00,41238
May-00,44381
Jun-00,42480
Jul-00,45056
Aug-00,49834
Sep-00,40698
Oct-00,40775
Nov-00,37483
Dec-00,34766
Jan-01,39547
Feb-01,37134
Mar-01,44348
Apr-01,39894
May-01,40888
Jun-01,36049
Jul-01,44068
Aug-01,41353
Sep-01,34317
Oct-01,42010
Nov-01,37903
Dec-01,38794
Jan-02,39353
Feb-02,35688
Mar-02,39897
Apr-02,38444
May-02,44272
Jun-02,41632
Jul-02,50657
Aug-02,48104
Sep-02,46479
Oct-02,40283
Nov-02,40939
Dec-02,42248
Jan-03,44989
Feb-03,31486
Mar-03,47292
Apr-03,43526
May-03,43622
Jun-03,46544
Jul-03,47059
Aug-03,46669
Sep-03,43765
Oct-03,45766
Nov-03,40695
Dec-03,47483
Jan-04,38555
Feb-04,39551
Mar-04,41842
Apr-04,47103
May-04,49472
Jun-04,46502
Jul-04,49746
Aug-04,52387
Sep-04,44891
Oct-04,47069
Nov-04,46629
Dec-04,49950
Jan-05,48693
Feb-05,49311
Mar-05,49592
Apr-05,50264
May-05,51351
Jun-05,51918
Jul-05,56454
Aug-05,51618
Sep-05,50440
Oct-05,51159
Nov-05,44528
Dec-05,47116
Jan-06,50645
Feb-06,47937
Mar-06,52608
Apr-06,53017
May-06,55019
Jun-06,52742
Jul-06,56219
Aug-06,51856
Sep-06,46659
Oct-06,53040
Nov-06,55084
Dec-06,53012
Jan-07,52111
Feb-07,45327
Mar-07,50286
Apr-07,51106
May-07,49359
Jun-07,53881
Jul-07,53085
Aug-07,53439
Sep-07,51075
Oct-07,52403
Nov-07,49017
Dec-07,48994
Jan-08,55301
Feb-08,50142
Mar-08,49921
Apr-08,47037
May-08,51783
Jun-08,52805
Jul-08,52155
Aug-08,51432
Sep-08,55889
Oct-08,49739
Nov-08,52848
Dec-08,43790
Jan-09,39679
Feb-09,40232
Mar-09,41185
Apr-09,42016
May-09,41764
Jun-09,44618
Jul-09,45069
Aug-09,47259
Sep-09,46525
Oct-09,46382
Nov-09,45700
Dec-09,44847
Jan-10,43623
Feb-10,38027
Mar-10,50175
Apr-10,48202
May-10,48209
Jun-10,57277
Jul-10,63740
Aug-10,57510
Sep-10,51024
Oct-10,55628
Nov-10,48295
Dec-10,49213
Jan-11,51944
Feb-11,46894
Mar-11,54546
Apr-11,48096
May-11,53365
Jun-11,55331
Jul-11,52578
Aug-11,57347
Sep-11,54726
Oct-11,56755
Nov-11,52306
Dec-11,47540
Jan-12,55303
Feb-12,51640
Mar-12,50724
Apr-12,56156
